word,firstLetter,secondLetter,thirdLetter,fourthLetter,fifthLetter,top5FirstLetter,top5SecondLetter,top5ThirdLetter,top5FourthLetter,top5FifthLetter,numberOfTop5Letters
ABYSM,A,B,Y,S,M,0,0,0,0,0,0
ACAIS,A,C,A,I,S,0,0,1,1,1,3
ACARA,A,C,A,R,A,0,0,1,0,1,2
ACARI,A,C,A,R,I,0,0,1,0,0,1
ACCAS,A,C,C,A,S,0,0,0,1,1,2
ACCHA,A,C,C,H,A,0,0,0,0,1,1
ACCOY,A,C,C,O,Y,0,0,0,0,1,1
ACCRA,A,C,C,R,A,0,0,0,0,1,1
ACEDY,A,C,E,D,Y,0,0,0,0,1,1
ACENE,A,C,E,N,E,0,0,0,1,1,2
ACERB,A,C,E,R,B,0,0,0,0,0,0
ACERS,A,C,E,R,S,0,0,0,0,1,1
ACETA,A,C,E,T,A,0,0,0,1,1,2
ACHAR,A,C,H,A,R,0,0,0,1,0,1
ACHED,A,C,H,E,D,0,0,0,1,1,2
ACHER,A,C,H,E,R,0,0,0,1,0,1
ACHES,A,C,H,E,S,0,0,0,1,1,2
ACHEY,A,C,H,E,Y,0,0,0,1,1,2
ACHOO,A,C,H,O,O,0,0,0,0,0,0
ACIDS,A,C,I,D,S,0,0,1,0,1,2
ACIDY,A,C,I,D,Y,0,0,1,0,1,2
ACIES,A,C,I,E,S,0,0,1,1,1,3
ACING,A,C,I,N,G,0,0,1,1,0,2
ACINI,A,C,I,N,I,0,0,1,1,0,2
ACKEE,A,C,K,E,E,0,0,0,1,1,2
ACKER,A,C,K,E,R,0,0,0,1,0,1
ACMES,A,C,M,E,S,0,0,0,1,1,2
ACMIC,A,C,M,I,C,0,0,0,1,0,1
ACNED,A,C,N,E,D,0,0,1,1,1,3
ACNES,A,C,N,E,S,0,0,1,1,1,3
ACOCK,A,C,O,C,K,0,0,1,0,0,1
ACOEL,A,C,O,E,L,0,0,1,1,0,2
ACOLD,A,C,O,L,D,0,0,1,0,1,2
ACONE,A,C,O,N,E,0,0,1,1,1,3
ACRAL,A,C,R,A,L,0,0,1,1,0,2
ACRED,A,C,R,E,D,0,0,1,1,1,3
ACRES,A,C,R,E,S,0,0,1,1,1,3
ACRON,A,C,R,O,N,0,0,1,0,0,1
ACROS,A,C,R,O,S,0,0,1,0,1,2
ACRYL,A,C,R,Y,L,0,0,1,0,0,1
ACTAS,A,C,T,A,S,0,0,0,1,1,2
ACTED,A,C,T,E,D,0,0,0,1,1,2
ACTIN,A,C,T,I,N,0,0,0,1,0,1
ACTON,A,C,T,O,N,0,0,0,0,0,0
ACTUS,A,C,T,U,S,0,0,0,0,1,1
ACYLS,A,C,Y,L,S,0,0,0,0,1,1
ADATS,A,D,A,T,S,0,0,1,1,1,3
ADAWN,A,D,A,W,N,0,0,1,0,0,1
ADAWS,A,D,A,W,S,0,0,1,0,1,2
ADAYS,A,D,A,Y,S,0,0,1,0,1,2
ADBOT,A,D,B,O,T,0,0,0,0,0,0
ADDAS,A,D,D,A,S,0,0,0,1,1,2
ADDAX,A,D,D,A,X,0,0,0,1,0,1
ADDED,A,D,D,E,D,0,0,0,1,1,2
ADDER,A,D,D,E,R,0,0,0,1,0,1
ADDIN,A,D,D,I,N,0,0,0,1,0,1
ADDIO,A,D,D,I,O,0,0,0,1,0,1
ADDLE,A,D,D,L,E,0,0,0,0,1,1
ADDRA,A,D,D,R,A,0,0,0,0,1,1
ADEAD,A,D,E,A,D,0,0,0,1,1,2
ADEEM,A,D,E,E,M,0,0,0,1,0,1
ADHAN,A,D,H,A,N,0,0,0,1,0,1
ADHOC,A,D,H,O,C,0,0,0,0,0,0
ADIEU,A,D,I,E,U,0,0,1,1,0,2
ADIOS,A,D,I,O,S,0,0,1,0,1,2
ADITS,A,D,I,T,S,0,0,1,1,1,3
ADLIB,A,D,L,I,B,0,0,0,1,0,1
ADMAN,A,D,M,A,N,0,0,0,1,0,1
ADMEN,A,D,M,E,N,0,0,0,1,0,1
ADMIX,A,D,M,I,X,0,0,0,1,0,1
ADNEX,A,D,N,E,X,0,0,1,1,0,2
ADOBO,A,D,O,B,O,0,0,1,0,0,1
ADOON,A,D,O,O,N,0,0,1,0,0,1
ADORB,A,D,O,R,B,0,0,1,0,0,1
ADOWN,A,D,O,W,N,0,0,1,0,0,1
ADOZE,A,D,O,Z,E,0,0,1,0,1,2
ADRAD,A,D,R,A,D,0,0,1,1,1,3
ADRAW,A,D,R,A,W,0,0,1,1,0,2
ADRED,A,D,R,E,D,0,0,1,1,1,3
ADRET,A,D,R,E,T,0,0,1,1,0,2
ADRIP,A,D,R,I,P,0,0,1,1,0,2
ADSUM,A,D,S,U,M,0,0,0,0,0,0
ADUKI,A,D,U,K,I,0,0,0,0,0,0
ADUNC,A,D,U,N,C,0,0,0,1,0,1
ADUST,A,D,U,S,T,0,0,0,0,0,0
ADVEW,A,D,V,E,W,0,0,0,1,0,1
ADVTS,A,D,V,T,S,0,0,0,1,1,2
ADYTA,A,D,Y,T,A,0,0,0,1,1,2
ADYTS,A,D,Y,T,S,0,0,0,1,1,2
ADZED,A,D,Z,E,D,0,0,0,1,1,2
ADZES,A,D,Z,E,S,0,0,0,1,1,2
AECIA,A,E,C,I,A,0,1,0,1,1,3
AEDES,A,E,D,E,S,0,1,0,1,1,3
AEGER,A,E,G,E,R,0,1,0,1,0,2
AEGIS,A,E,G,I,S,0,1,0,1,1,3
AEONS,A,E,O,N,S,0,1,1,1,1,4
AERIE,A,E,R,I,E,0,1,1,1,1,4
AEROS,A,E,R,O,S,0,1,1,0,1,3
AESIR,A,E,S,I,R,0,1,0,1,0,2
AEVUM,A,E,V,U,M,0,1,0,0,0,1
AFALD,A,F,A,L,D,0,0,1,0,1,2
AFANC,A,F,A,N,C,0,0,1,1,0,2
AFARA,A,F,A,R,A,0,0,1,0,1,2
AFARS,A,F,A,R,S,0,0,1,0,1,2
AFEAR,A,F,E,A,R,0,0,0,1,0,1
AFFLY,A,F,F,L,Y,0,0,0,0,1,1
AFION,A,F,I,O,N,0,0,1,0,0,1
AFIZZ,A,F,I,Z,Z,0,0,1,0,0,1
AFLAJ,A,F,L,A,J,0,0,0,1,0,1
AFLAP,A,F,L,A,P,0,0,0,1,0,1
AFLOW,A,F,L,O,W,0,0,0,0,0,0
AFOAM,A,F,O,A,M,0,0,1,1,0,2
AFORE,A,F,O,R,E,0,0,1,0,1,2
AFRET,A,F,R,E,T,0,0,1,1,0,2
AFRIT,A,F,R,I,T,0,0,1,1,0,2
AFROS,A,F,R,O,S,0,0,1,0,1,2
AFTOS,A,F,T,O,S,0,0,0,0,1,1
AGALS,A,G,A,L,S,0,0,1,0,1,2
AGAMA,A,G,A,M,A,0,0,1,0,1,2
AGAMI,A,G,A,M,I,0,0,1,0,0,1
AGAMY,A,G,A,M,Y,0,0,1,0,1,2
AGARS,A,G,A,R,S,0,0,1,0,1,2
AGASP,A,G,A,S,P,0,0,1,0,0,1
AGAST,A,G,A,S,T,0,0,1,0,0,1
AGATY,A,G,A,T,Y,0,0,1,1,1,3
AGAVE,A,G,A,V,E,0,0,1,0,1,2
AGAZE,A,G,A,Z,E,0,0,1,0,1,2
AGBAS,A,G,B,A,S,0,0,0,1,1,2
AGENE,A,G,E,N,E,0,0,0,1,1,2
AGERS,A,G,E,R,S,0,0,0,0,1,1
AGGAG,A,G,G,A,G,0,0,0,1,0,1
AGGER,A,G,G,E,R,0,0,0,1,0,1
AGGIE,A,G,G,I,E,0,0,0,1,1,2
AGGRI,A,G,G,R,I,0,0,0,0,0,0
AGGRO,A,G,G,R,O,0,0,0,0,0,0
AGGRY,A,G,G,R,Y,0,0,0,0,1,1
AGHAS,A,G,H,A,S,0,0,0,1,1,2
AGIDI,A,G,I,D,I,0,0,1,0,0,1
AGILA,A,G,I,L,A,0,0,1,0,1,2
AGIOS,A,G,I,O,S,0,0,1,0,1,2
AGISM,A,G,I,S,M,0,0,1,0,0,1
AGIST,A,G,I,S,T,0,0,1,0,0,1
AGITA,A,G,I,T,A,0,0,1,1,1,3
AGLEE,A,G,L,E,E,0,0,0,1,1,2
AGLET,A,G,L,E,T,0,0,0,1,0,1
AGLEY,A,G,L,E,Y,0,0,0,1,1,2
AGLOO,A,G,L,O,O,0,0,0,0,0,0
AGLUS,A,G,L,U,S,0,0,0,0,1,1
AGMAS,A,G,M,A,S,0,0,0,1,1,2
AGOGE,A,G,O,G,E,0,0,1,0,1,2
AGOGO,A,G,O,G,O,0,0,1,0,0,1
AGONE,A,G,O,N,E,0,0,1,1,1,3
AGONS,A,G,O,N,S,0,0,1,1,1,3
AGOOD,A,G,O,O,D,0,0,1,0,1,2
AGORA,A,G,O,R,A,0,0,1,0,1,2
AGRIA,A,G,R,I,A,0,0,1,1,1,3
AGRIN,A,G,R,I,N,0,0,1,1,0,2
AGROS,A,G,R,O,S,0,0,1,0,1,2
AGRUM,A,G,R,U,M,0,0,1,0,0,1
AGUED,A,G,U,E,D,0,0,0,1,1,2
AGUES,A,G,U,E,S,0,0,0,1,1,2
AGUEY,A,G,U,E,Y,0,0,0,1,1,2
AGUNA,A,G,U,N,A,0,0,0,1,1,2
AGUSH,A,G,U,S,H,0,0,0,0,0,0
AGUTI,A,G,U,T,I,0,0,0,1,0,1
AHEAP,A,H,E,A,P,0,0,0,1,0,1
AHENT,A,H,E,N,T,0,0,0,1,0,1
AHIGH,A,H,I,G,H,0,0,1,0,0,1
AHIND,A,H,I,N,D,0,0,1,1,1,3
AHING,A,H,I,N,G,0,0,1,1,0,2
AHINT,A,H,I,N,T,0,0,1,1,0,2
AHOLD,A,H,O,L,D,0,0,1,0,1,2
AHOLE,A,H,O,L,E,0,0,1,0,1,2
AHULL,A,H,U,L,L,0,0,0,0,0,0
AHURU,A,H,U,R,U,0,0,0,0,0,0
AIDAS,A,I,D,A,S,0,1,0,1,1,3
AIDED,A,I,D,E,D,0,1,0,1,1,3
AIDES,A,I,D,E,S,0,1,0,1,1,3
AIDOI,A,I,D,O,I,0,1,0,0,0,1
AIDOS,A,I,D,O,S,0,1,0,0,1,2
AIERY,A,I,E,R,Y,0,1,0,0,1,2
AIGAS,A,I,G,A,S,0,1,0,1,1,3
AIGHT,A,I,G,H,T,0,1,0,0,0,1
AILED,A,I,L,E,D,0,1,0,1,1,3
AIMAG,A,I,M,A,G,0,1,0,1,0,2
AIMAK,A,I,M,A,K,0,1,0,1,0,2
AIMED,A,I,M,E,D,0,1,0,1,1,3
AIMER,A,I,M,E,R,0,1,0,1,0,2
AINEE,A,I,N,E,E,0,1,1,1,1,4
AINGA,A,I,N,G,A,0,1,1,0,1,3
AIOLI,A,I,O,L,I,0,1,1,0,0,2
AIRED,A,I,R,E,D,0,1,1,1,1,4
AIRER,A,I,R,E,R,0,1,1,1,0,3
AIRNS,A,I,R,N,S,0,1,1,1,1,4
AIRTH,A,I,R,T,H,0,1,1,1,0,3
AIRTS,A,I,R,T,S,0,1,1,1,1,4
AITCH,A,I,T,C,H,0,1,0,0,0,1
AITUS,A,I,T,U,S,0,1,0,0,1,2
AIVER,A,I,V,E,R,0,1,0,1,0,2
AIXES,A,I,X,E,S,0,1,0,1,1,3
AIYAH,A,I,Y,A,H,0,1,0,1,0,2
AIYEE,A,I,Y,E,E,0,1,0,1,1,3
AIYOH,A,I,Y,O,H,0,1,0,0,0,1
AIYOO,A,I,Y,O,O,0,1,0,0,0,1
AIZLE,A,I,Z,L,E,0,1,0,0,1,2
AJIES,A,J,I,E,S,0,0,1,1,1,3
AJIVA,A,J,I,V,A,0,0,1,0,1,2
AJUGA,A,J,U,G,A,0,0,0,0,1,1
AJUPA,A,J,U,P,A,0,0,0,0,1,1
AJWAN,A,J,W,A,N,0,0,0,1,0,1
AKARA,A,K,A,R,A,0,0,1,0,1,2
AKEES,A,K,E,E,S,0,0,0,1,1,2
AKELA,A,K,E,L,A,0,0,0,0,1,1
AKENE,A,K,E,N,E,0,0,0,1,1,2
AKING,A,K,I,N,G,0,0,1,1,0,2
AKITA,A,K,I,T,A,0,0,1,1,1,3
AKKAS,A,K,K,A,S,0,0,0,1,1,2
AKKER,A,K,K,E,R,0,0,0,1,0,1
AKOIA,A,K,O,I,A,0,0,1,1,1,3
AKOJA,A,K,O,J,A,0,0,1,0,1,2
AKOYA,A,K,O,Y,A,0,0,1,0,1,2
AKSED,A,K,S,E,D,0,0,0,1,1,2
AKSES,A,K,S,E,S,0,0,0,1,1,2
ALAAP,A,L,A,A,P,0,0,1,1,0,2
ALACK,A,L,A,C,K,0,0,1,0,0,1
ALALA,A,L,A,L,A,0,0,1,0,1,2
ALAMO,A,L,A,M,O,0,0,1,0,0,1
ALAND,A,L,A,N,D,0,0,1,1,1,3
ALANE,A,L,A,N,E,0,0,1,1,1,3
ALANG,A,L,A,N,G,0,0,1,1,0,2
ALANS,A,L,A,N,S,0,0,1,1,1,3
ALANT,A,L,A,N,T,0,0,1,1,0,2
ALAPA,A,L,A,P,A,0,0,1,0,1,2
ALAPS,A,L,A,P,S,0,0,1,0,1,2
ALARY,A,L,A,R,Y,0,0,1,0,1,2
ALATA,A,L,A,T,A,0,0,1,1,1,3
ALATE,A,L,A,T,E,0,0,1,1,1,3
ALAYS,A,L,A,Y,S,0,0,1,0,1,2
ALBAS,A,L,B,A,S,0,0,0,1,1,2
ALBEE,A,L,B,E,E,0,0,0,1,1,2
ALBID,A,L,B,I,D,0,0,0,1,1,2
ALCEA,A,L,C,E,A,0,0,0,1,1,2
ALCES,A,L,C,E,S,0,0,0,1,1,2
ALCID,A,L,C,I,D,0,0,0,1,1,2
ALCOS,A,L,C,O,S,0,0,0,0,1,1
ALDEA,A,L,D,E,A,0,0,0,1,1,2
ALDER,A,L,D,E,R,0,0,0,1,0,1
ALDOL,A,L,D,O,L,0,0,0,0,0,0
ALEAK,A,L,E,A,K,0,0,0,1,0,1
ALECK,A,L,E,C,K,0,0,0,0,0,0
ALECS,A,L,E,C,S,0,0,0,0,1,1
ALEEM,A,L,E,E,M,0,0,0,1,0,1
ALEFS,A,L,E,F,S,0,0,0,0,1,1
ALEFT,A,L,E,F,T,0,0,0,0,0,0
ALEPH,A,L,E,P,H,0,0,0,0,0,0
ALEWS,A,L,E,W,S,0,0,0,0,1,1
ALEYE,A,L,E,Y,E,0,0,0,0,1,1
ALFAS,A,L,F,A,S,0,0,0,1,1,2
ALGAL,A,L,G,A,L,0,0,0,1,0,1
ALGAS,A,L,G,A,S,0,0,0,1,1,2
ALGID,A,L,G,I,D,0,0,0,1,1,2
ALGIN,A,L,G,I,N,0,0,0,1,0,1
ALGOR,A,L,G,O,R,0,0,0,0,0,0
ALGOS,A,L,G,O,S,0,0,0,0,1,1
ALGUM,A,L,G,U,M,0,0,0,0,0,0
ALIAS,A,L,I,A,S,0,0,1,1,1,3
ALICK,A,L,I,C,K,0,0,1,0,0,1
ALIFS,A,L,I,F,S,0,0,1,0,1,2
ALIMS,A,L,I,M,S,0,0,1,0,1,2
ALINE,A,L,I,N,E,0,0,1,1,1,3
ALIOS,A,L,I,O,S,0,0,1,0,1,2
ALIST,A,L,I,S,T,0,0,1,0,0,1
ALIYA,A,L,I,Y,A,0,0,1,0,1,2
ALKIE,A,L,K,I,E,0,0,0,1,1,2
ALKIN,A,L,K,I,N,0,0,0,1,0,1
ALKOS,A,L,K,O,S,0,0,0,0,1,1
ALKYD,A,L,K,Y,D,0,0,0,0,1,1
ALKYL,A,L,K,Y,L,0,0,0,0,0,0
ALLAN,A,L,L,A,N,0,0,0,1,0,1
ALLEE,A,L,L,E,E,0,0,0,1,1,2
ALLEL,A,L,L,E,L,0,0,0,1,0,1
ALLEN,A,L,L,E,N,0,0,0,1,0,1
ALLER,A,L,L,E,R,0,0,0,1,0,1
ALLIN,A,L,L,I,N,0,0,0,1,0,1
ALLIS,A,L,L,I,S,0,0,0,1,1,2
ALLOD,A,L,L,O,D,0,0,0,0,1,1
ALLUS,A,L,L,U,S,0,0,0,0,1,1
ALLYL,A,L,L,Y,L,0,0,0,0,0,0
ALMAH,A,L,M,A,H,0,0,0,1,0,1
ALMAS,A,L,M,A,S,0,0,0,1,1,2
ALMEH,A,L,M,E,H,0,0,0,1,0,1
ALMES,A,L,M,E,S,0,0,0,1,1,2
ALMUD,A,L,M,U,D,0,0,0,0,1,1
ALMUG,A,L,M,U,G,0,0,0,0,0,0
ALODS,A,L,O,D,S,0,0,1,0,1,2
ALOED,A,L,O,E,D,0,0,1,1,1,3
ALOES,A,L,O,E,S,0,0,1,1,1,3
ALOHA,A,L,O,H,A,0,0,1,0,1,2
ALOIN,A,L,O,I,N,0,0,1,1,0,2
ALOOS,A,L,O,O,S,0,0,1,0,1,2
ALOSE,A,L,O,S,E,0,0,1,0,1,2
ALOWE,A,L,O,W,E,0,0,1,0,1,2
ALTHO,A,L,T,H,O,0,0,0,0,0,0
ALTOS,A,L,T,O,S,0,0,0,0,1,1
ALULA,A,L,U,L,A,0,0,0,0,1,1
ALUMS,A,L,U,M,S,0,0,0,0,1,1
ALUMY,A,L,U,M,Y,0,0,0,0,1,1
ALURE,A,L,U,R,E,0,0,0,0,1,1
ALURK,A,L,U,R,K,0,0,0,0,0,0
ALVAR,A,L,V,A,R,0,0,0,1,0,1
ALWAY,A,L,W,A,Y,0,0,0,1,1,2
AMAHS,A,M,A,H,S,0,0,1,0,1,2
AMAIN,A,M,A,I,N,0,0,1,1,0,2
AMARI,A,M,A,R,I,0,0,1,0,0,1
AMARO,A,M,A,R,O,0,0,1,0,0,1
AMATE,A,M,A,T,E,0,0,1,1,1,3
AMAUT,A,M,A,U,T,0,0,1,0,0,1
AMBAN,A,M,B,A,N,0,0,0,1,0,1
AMBIT,A,M,B,I,T,0,0,0,1,0,1
AMBOS,A,M,B,O,S,0,0,0,0,1,1
AMBRY,A,M,B,R,Y,0,0,0,0,1,1
AMEBA,A,M,E,B,A,0,0,0,0,1,1
AMEER,A,M,E,E,R,0,0,0,1,0,1
AMENE,A,M,E,N,E,0,0,0,1,1,2
AMENS,A,M,E,N,S,0,0,0,1,1,2
AMENT,A,M,E,N,T,0,0,0,1,0,1
AMIAS,A,M,I,A,S,0,0,1,1,1,3
AMICE,A,M,I,C,E,0,0,1,0,1,2
AMICI,A,M,I,C,I,0,0,1,0,0,1
AMIDE,A,M,I,D,E,0,0,1,0,1,2
AMIDO,A,M,I,D,O,0,0,1,0,0,1
AMIDS,A,M,I,D,S,0,0,1,0,1,2
AMIES,A,M,I,E,S,0,0,1,1,1,3
AMIGA,A,M,I,G,A,0,0,1,0,1,2
AMIGO,A,M,I,G,O,0,0,1,0,0,1
AMINE,A,M,I,N,E,0,0,1,1,1,3
AMINO,A,M,I,N,O,0,0,1,1,0,2
AMINS,A,M,I,N,S,0,0,1,1,1,3
AMIRS,A,M,I,R,S,0,0,1,0,1,2
AMLAS,A,M,L,A,S,0,0,0,1,1,2
AMMAN,A,M,M,A,N,0,0,0,1,0,1
AMMAS,A,M,M,A,S,0,0,0,1,1,2
AMMON,A,M,M,O,N,0,0,0,0,0,0
AMMOS,A,M,M,O,S,0,0,0,0,1,1
AMNIA,A,M,N,I,A,0,0,1,1,1,3
AMNIC,A,M,N,I,C,0,0,1,1,0,2
AMNIO,A,M,N,I,O,0,0,1,1,0,2
AMOKS,A,M,O,K,S,0,0,1,0,1,2
AMOLE,A,M,O,L,E,0,0,1,0,1,2
AMORE,A,M,O,R,E,0,0,1,0,1,2
AMORT,A,M,O,R,T,0,0,1,0,0,1
AMOUR,A,M,O,U,R,0,0,1,0,0,1
AMOVE,A,M,O,V,E,0,0,1,0,1,2
AMOWT,A,M,O,W,T,0,0,1,0,0,1
AMPED,A,M,P,E,D,0,0,0,1,1,2
AMPUL,A,M,P,U,L,0,0,0,0,0,0
AMRIT,A,M,R,I,T,0,0,1,1,0,2
AMUCK,A,M,U,C,K,0,0,0,0,0,0
AMYLS,A,M,Y,L,S,0,0,0,0,1,1
ANANA,A,N,A,N,A,0,0,1,1,1,3
ANATA,A,N,A,T,A,0,0,1,1,1,3
ANCHO,A,N,C,H,O,0,0,0,0,0,0
ANCLE,A,N,C,L,E,0,0,0,0,1,1
ANCON,A,N,C,O,N,0,0,0,0,0,0
ANDIC,A,N,D,I,C,0,0,0,1,0,1
ANDRO,A,N,D,R,O,0,0,0,0,0,0
ANEAR,A,N,E,A,R,0,0,0,1,0,1
ANELE,A,N,E,L,E,0,0,0,0,1,1
ANENT,A,N,E,N,T,0,0,0,1,0,1
ANGAS,A,N,G,A,S,0,0,0,1,1,2
ANGLO,A,N,G,L,O,0,0,0,0,0,0
ANIGH,A,N,I,G,H,0,0,1,0,0,1
ANILE,A,N,I,L,E,0,0,1,0,1,2
ANILS,A,N,I,L,S,0,0,1,0,1,2
ANIMA,A,N,I,M,A,0,0,1,0,1,2
ANIMI,A,N,I,M,I,0,0,1,0,0,1
ANION,A,N,I,O,N,0,0,1,0,0,1
ANISE,A,N,I,S,E,0,0,1,0,1,2
ANKER,A,N,K,E,R,0,0,0,1,0,1
ANKHS,A,N,K,H,S,0,0,0,0,1,1
ANKUS,A,N,K,U,S,0,0,0,0,1,1
ANLAS,A,N,L,A,S,0,0,0,1,1,2
ANNAL,A,N,N,A,L,0,0,1,1,0,2
ANNAN,A,N,N,A,N,0,0,1,1,0,2
ANNAS,A,N,N,A,S,0,0,1,1,1,3
ANNAT,A,N,N,A,T,0,0,1,1,0,2
ANNUM,A,N,N,U,M,0,0,1,0,0,1
ANNUS,A,N,N,U,S,0,0,1,0,1,2
ANOAS,A,N,O,A,S,0,0,1,1,1,3
ANOLE,A,N,O,L,E,0,0,1,0,1,2
ANOMY,A,N,O,M,Y,0,0,1,0,1,2
ANSAE,A,N,S,A,E,0,0,0,1,1,2
ANSAS,A,N,S,A,S,0,0,0,1,1,2
ANTAE,A,N,T,A,E,0,0,0,1,1,2
ANTAR,A,N,T,A,R,0,0,0,1,0,1
ANTAS,A,N,T,A,S,0,0,0,1,1,2
ANTED,A,N,T,E,D,0,0,0,1,1,2
ANTES,A,N,T,E,S,0,0,0,1,1,2
ANTIS,A,N,T,I,S,0,0,0,1,1,2
ANTRA,A,N,T,R,A,0,0,0,0,1,1
ANTRE,A,N,T,R,E,0,0,0,0,1,1
ANTSY,A,N,T,S,Y,0,0,0,0,1,1
ANURA,A,N,U,R,A,0,0,0,0,1,1
ANYON,A,N,Y,O,N,0,0,0,0,0,0
APACE,A,P,A,C,E,0,0,1,0,1,2
APAGE,A,P,A,G,E,0,0,1,0,1,2
APAID,A,P,A,I,D,0,0,1,1,1,3
APAYD,A,P,A,Y,D,0,0,1,0,1,2
APAYS,A,P,A,Y,S,0,0,1,0,1,2
APEAK,A,P,E,A,K,0,0,0,1,0,1
APEEK,A,P,E,E,K,0,0,0,1,0,1
APERS,A,P,E,R,S,0,0,0,0,1,1
APERT,A,P,E,R,T,0,0,0,0,0,0
APERY,A,P,E,R,Y,0,0,0,0,1,1
APGAR,A,P,G,A,R,0,0,0,1,0,1
APHIS,A,P,H,I,S,0,0,0,1,1,2
APIAN,A,P,I,A,N,0,0,1,1,0,2
APIOL,A,P,I,O,L,0,0,1,0,0,1
APISH,A,P,I,S,H,0,0,1,0,0,1
APISM,A,P,I,S,M,0,0,1,0,0,1
APODE,A,P,O,D,E,0,0,1,0,1,2
APODS,A,P,O,D,S,0,0,1,0,1,2
APOLS,A,P,O,L,S,0,0,1,0,1,2
APOOP,A,P,O,O,P,0,0,1,0,0,1
APORT,A,P,O,R,T,0,0,1,0,0,1
APPAL,A,P,P,A,L,0,0,0,1,0,1
APPAM,A,P,P,A,M,0,0,0,1,0,1
APPAY,A,P,P,A,Y,0,0,0,1,1,2
APPEL,A,P,P,E,L,0,0,0,1,0,1
APPRO,A,P,P,R,O,0,0,0,0,0,0
APPTS,A,P,P,T,S,0,0,0,1,1,2
APPUI,A,P,P,U,I,0,0,0,0,0,0
APPUY,A,P,P,U,Y,0,0,0,0,1,1
APRES,A,P,R,E,S,0,0,1,1,1,3
APSES,A,P,S,E,S,0,0,0,1,1,2
APSIS,A,P,S,I,S,0,0,0,1,1,2
APSOS,A,P,S,O,S,0,0,0,0,1,1
APTED,A,P,T,E,D,0,0,0,1,1,2
APTER,A,P,T,E,R,0,0,0,1,0,1
