,word,firstLetter,secondLetter,thirdLetter,fourthLetter,fifthLetter,top5FirstLetter
292,ALAPA,A,L,A,P,A,
293,ALAPS,A,L,A,P,S,
294,ALARY,A,L,A,R,Y,
295,ALATA,A,L,A,T,A,
296,ALATE,A,L,A,T,E,
297,ALAYS,A,L,A,Y,S,
298,ALBAS,A,L,B,A,S,
299,ALBEE,A,L,B,E,E,
300,ALBID,A,L,B,I,D,
301,ALCEA,A,L,C,E,A,
302,ALCES,A,L,C,E,S,
303,ALCID,A,L,C,I,D,
304,ALCOS,A,L,C,O,S,
305,ALDEA,A,L,D,E,A,
306,ALDER,A,L,D,E,R,
307,ALDOL,A,L,D,O,L,
308,ALEAK,A,L,E,A,K,
309,ALECK,A,L,E,C,K,
310,ALECS,A,L,E,C,S,
311,ALEEM,A,L,E,E,M,
312,ALEFS,A,L,E,F,S,
313,ALEFT,A,L,E,F,T,
314,ALEPH,A,L,E,P,H,
315,ALEWS,A,L,E,W,S,
316,ALEYE,A,L,E,Y,E,
317,ALFAS,A,L,F,A,S,
318,ALGAL,A,L,G,A,L,
319,ALGAS,A,L,G,A,S,
320,ALGID,A,L,G,I,D,
321,ALGIN,A,L,G,I,N,
322,ALGOR,A,L,G,O,R,
323,ALGOS,A,L,G,O,S,
324,ALGUM,A,L,G,U,M,
325,ALIAS,A,L,I,A,S,
326,ALICK,A,L,I,C,K,
327,ALIFS,A,L,I,F,S,
328,ALIMS,A,L,I,M,S,
329,ALINE,A,L,I,N,E,
330,ALIOS,A,L,I,O,S,
331,ALIST,A,L,I,S,T,
332,ALIYA,A,L,I,Y,A,
333,ALKIE,A,L,K,I,E,
334,ALKIN,A,L,K,I,N,
335,ALKOS,A,L,K,O,S,
336,ALKYD,A,L,K,Y,D,
337,ALKYL,A,L,K,Y,L,
338,ALLAN,A,L,L,A,N,
339,ALLEE,A,L,L,E,E,
340,ALLEL,A,L,L,E,L,
341,ALLEN,A,L,L,E,N,
342,ALLER,A,L,L,E,R,
343,ALLIN,A,L,L,I,N,
344,ALLIS,A,L,L,I,S,
345,ALLOD,A,L,L,O,D,
346,ALLUS,A,L,L,U,S,
347,ALLYL,A,L,L,Y,L,
348,ALMAH,A,L,M,A,H,
349,ALMAS,A,L,M,A,S,
350,ALMEH,A,L,M,E,H,
351,ALMES,A,L,M,E,S,
352,ALMUD,A,L,M,U,D,
353,ALMUG,A,L,M,U,G,
354,ALODS,A,L,O,D,S,
355,ALOED,A,L,O,E,D,
356,ALOES,A,L,O,E,S,
357,ALOHA,A,L,O,H,A,
358,ALOIN,A,L,O,I,N,
359,ALOOS,A,L,O,O,S,
360,ALOSE,A,L,O,S,E,
361,ALOWE,A,L,O,W,E,
362,ALTHO,A,L,T,H,O,
363,ALTOS,A,L,T,O,S,
364,ALULA,A,L,U,L,A,
365,ALUMS,A,L,U,M,S,
366,ALUMY,A,L,U,M,Y,
367,ALURE,A,L,U,R,E,
368,ALURK,A,L,U,R,K,
369,ALVAR,A,L,V,A,R,
370,ALWAY,A,L,W,A,Y,
371,AMAHS,A,M,A,H,S,
372,AMAIN,A,M,A,I,N,
373,AMARI,A,M,A,R,I,
374,AMARO,A,M,A,R,O,
375,AMATE,A,M,A,T,E,
376,AMAUT,A,M,A,U,T,
377,AMBAN,A,M,B,A,N,
378,AMBIT,A,M,B,I,T,
379,AMBOS,A,M,B,O,S,
380,AMBRY,A,M,B,R,Y,
381,AMEBA,A,M,E,B,A,
382,AMEER,A,M,E,E,R,
383,AMENE,A,M,E,N,E,
384,AMENS,A,M,E,N,S,
385,AMENT,A,M,E,N,T,
386,AMIAS,A,M,I,A,S,
387,AMICE,A,M,I,C,E,
388,AMICI,A,M,I,C,I,
389,AMIDE,A,M,I,D,E,
390,AMIDO,A,M,I,D,O,
391,AMIDS,A,M,I,D,S,
392,AMIES,A,M,I,E,S,
393,AMIGA,A,M,I,G,A,
394,AMIGO,A,M,I,G,O,
395,AMINE,A,M,I,N,E,
396,AMINO,A,M,I,N,O,
397,AMINS,A,M,I,N,S,
398,AMIRS,A,M,I,R,S,
399,AMLAS,A,M,L,A,S,
400,AMMAN,A,M,M,A,N,
401,AMMAS,A,M,M,A,S,
402,AMMON,A,M,M,O,N,
403,AMMOS,A,M,M,O,S,
404,AMNIA,A,M,N,I,A,
405,AMNIC,A,M,N,I,C,
406,AMNIO,A,M,N,I,O,
407,AMOKS,A,M,O,K,S,
408,AMOLE,A,M,O,L,E,
409,AMORE,A,M,O,R,E,
410,AMORT,A,M,O,R,T,
411,AMOUR,A,M,O,U,R,
412,AMOVE,A,M,O,V,E,
413,AMOWT,A,M,O,W,T,
414,AMPED,A,M,P,E,D,
415,AMPUL,A,M,P,U,L,
416,AMRIT,A,M,R,I,T,
417,AMUCK,A,M,U,C,K,
418,AMYLS,A,M,Y,L,S,
419,ANANA,A,N,A,N,A,
420,ANATA,A,N,A,T,A,
421,ANCHO,A,N,C,H,O,
422,ANCLE,A,N,C,L,E,
423,ANCON,A,N,C,O,N,
424,ANDIC,A,N,D,I,C,
425,ANDRO,A,N,D,R,O,
426,ANEAR,A,N,E,A,R,
427,ANELE,A,N,E,L,E,
428,ANENT,A,N,E,N,T,
429,ANGAS,A,N,G,A,S,
430,ANGLO,A,N,G,L,O,
431,ANIGH,A,N,I,G,H,
432,ANILE,A,N,I,L,E,
433,ANILS,A,N,I,L,S,
434,ANIMA,A,N,I,M,A,
435,ANIMI,A,N,I,M,I,
436,ANION,A,N,I,O,N,
437,ANISE,A,N,I,S,E,
438,ANKER,A,N,K,E,R,
439,ANKHS,A,N,K,H,S,
440,ANKUS,A,N,K,U,S,
441,ANLAS,A,N,L,A,S,
442,ANNAL,A,N,N,A,L,
443,ANNAN,A,N,N,A,N,
444,ANNAS,A,N,N,A,S,
445,ANNAT,A,N,N,A,T,
446,ANNUM,A,N,N,U,M,
447,ANNUS,A,N,N,U,S,
448,ANOAS,A,N,O,A,S,
449,ANOLE,A,N,O,L,E,
450,ANOMY,A,N,O,M,Y,
451,ANSAE,A,N,S,A,E,
452,ANSAS,A,N,S,A,S,
453,ANTAE,A,N,T,A,E,
454,ANTAR,A,N,T,A,R,
455,ANTAS,A,N,T,A,S,
456,ANTED,A,N,T,E,D,
457,ANTES,A,N,T,E,S,
458,ANTIS,A,N,T,I,S,
459,ANTRA,A,N,T,R,A,
460,ANTRE,A,N,T,R,E,
461,ANTSY,A,N,T,S,Y,
462,ANURA,A,N,U,R,A,
463,ANYON,A,N,Y,O,N,
464,APACE,A,P,A,C,E,
465,APAGE,A,P,A,G,E,
466,APAID,A,P,A,I,D,
467,APAYD,A,P,A,Y,D,
468,APAYS,A,P,A,Y,S,
469,APEAK,A,P,E,A,K,
470,APEEK,A,P,E,E,K,
471,APERS,A,P,E,R,S,
472,APERT,A,P,E,R,T,
473,APERY,A,P,E,R,Y,
474,APGAR,A,P,G,A,R,
475,APHIS,A,P,H,I,S,
476,APIAN,A,P,I,A,N,
477,APIOL,A,P,I,O,L,
478,APISH,A,P,I,S,H,
479,APISM,A,P,I,S,M,
480,APODE,A,P,O,D,E,
481,APODS,A,P,O,D,S,
482,APOLS,A,P,O,L,S,
483,APOOP,A,P,O,O,P,
484,APORT,A,P,O,R,T,
485,APPAL,A,P,P,A,L,
486,APPAM,A,P,P,A,M,
487,APPAY,A,P,P,A,Y,
488,APPEL,A,P,P,E,L,
489,APPRO,A,P,P,R,O,
490,APPTS,A,P,P,T,S,
491,APPUI,A,P,P,U,I,
492,APPUY,A,P,P,U,Y,
493,APRES,A,P,R,E,S,
494,APSES,A,P,S,E,S,
495,APSIS,A,P,S,I,S,
496,APSOS,A,P,S,O,S,
497,APTED,A,P,T,E,D,
498,APTER,A,P,T,E,R,
499,AQUAE,A,Q,U,A,E,
500,AQUAS,A,Q,U,A,S,
501,ARABA,A,R,A,B,A,
502,ARAKS,A,R,A,K,S,
503,ARAME,A,R,A,M,E,
504,ARARS,A,R,A,R,S,
505,ARBAH,A,R,B,A,H,
506,ARBAS,A,R,B,A,S,
507,ARCED,A,R,C,E,D,
508,ARCHI,A,R,C,H,I,
509,ARCOS,A,R,C,O,S,
510,ARCUS,A,R,C,U,S,
511,ARDEB,A,R,D,E,B,
512,ARDRI,A,R,D,R,I,
513,AREAD,A,R,E,A,D,
514,AREAE,A,R,E,A,E,
515,AREAL,A,R,E,A,L,
516,AREAR,A,R,E,A,R,
517,AREAS,A,R,E,A,S,
518,ARECA,A,R,E,C,A,
519,AREDD,A,R,E,D,D,
520,AREDE,A,R,E,D,E,
521,AREFY,A,R,E,F,Y,
522,AREIC,A,R,E,I,C,
523,ARENE,A,R,E,N,E,
524,AREPA,A,R,E,P,A,
525,ARERE,A,R,E,R,E,
526,ARETE,A,R,E,T,E,
527,ARETS,A,R,E,T,S,
528,ARETT,A,R,E,T,T,
529,ARGAL,A,R,G,A,L,
530,ARGAN,A,R,G,A,N,
531,ARGIL,A,R,G,I,L,
532,ARGLE,A,R,G,L,E,
533,ARGOL,A,R,G,O,L,
534,ARGON,A,R,G,O,N,
535,ARGOT,A,R,G,O,T,
536,ARGUS,A,R,G,U,S,
537,ARHAT,A,R,H,A,T,
538,ARIAS,A,R,I,A,S,
539,ARIEL,A,R,I,E,L,
540,ARIKI,A,R,I,K,I,
541,ARILS,A,R,I,L,S,
542,ARIOT,A,R,I,O,T,
543,ARISH,A,R,I,S,H,
544,ARITH,A,R,I,T,H,
545,ARKED,A,R,K,E,D,
546,ARLED,A,R,L,E,D,
547,ARLES,A,R,L,E,S,
548,ARMED,A,R,M,E,D,
549,ARMER,A,R,M,E,R,
550,ARMET,A,R,M,E,T,
551,ARMIL,A,R,M,I,L,
552,ARNAS,A,R,N,A,S,
553,ARNIS,A,R,N,I,S,
554,ARNUT,A,R,N,U,T,
555,AROBA,A,R,O,B,A,
556,AROHA,A,R,O,H,A,
557,AROID,A,R,O,I,D,
558,ARPAS,A,R,P,A,S,
559,ARPEN,A,R,P,E,N,
560,ARRAH,A,R,R,A,H,
561,ARRAS,A,R,R,A,S,
562,ARRET,A,R,R,E,T,
563,ARRIS,A,R,R,I,S,
564,ARROZ,A,R,R,O,Z,
565,ARSED,A,R,S,E,D,
566,ARSES,A,R,S,E,S,
567,ARSEY,A,R,S,E,Y,
568,ARSIS,A,R,S,I,S,
569,ARTAL,A,R,T,A,L,
570,ARTEL,A,R,T,E,L,
571,ARTER,A,R,T,E,R,
572,ARTIC,A,R,T,I,C,
573,ARTIS,A,R,T,I,S,
574,ARTLY,A,R,T,L,Y,
575,ARUHE,A,R,U,H,E,
576,ARUMS,A,R,U,M,S,
577,ARVAL,A,R,V,A,L,
578,ARVEE,A,R,V,E,E,
579,ARVOS,A,R,V,O,S,
580,ARYLS,A,R,Y,L,S,
581,ASADA,A,S,A,D,A,
582,ASANA,A,S,A,N,A,
583,ASCON,A,S,C,O,N,
584,ASCUS,A,S,C,U,S,
585,ASDIC,A,S,D,I,C,
586,ASHED,A,S,H,E,D,
587,ASHES,A,S,H,E,S,
588,ASHET,A,S,H,E,T,
589,ASITY,A,S,I,T,Y,
590,ASKAR,A,S,K,A,R,
591,ASKED,A,S,K,E,D,
592,ASKER,A,S,K,E,R,
593,ASKOI,A,S,K,O,I,
594,ASKOS,A,S,K,O,S,
595,ASPEN,A,S,P,E,N,
596,ASPER,A,S,P,E,R,
597,ASPIC,A,S,P,I,C,
598,ASPIE,A,S,P,I,E,
599,ASPIS,A,S,P,I,S,
600,ASPRO,A,S,P,R,O,
601,ASSAI,A,S,S,A,I,
602,ASSAM,A,S,S,A,M,
603,ASSED,A,S,S,E,D,
604,ASSES,A,S,S,E,S,
605,ASSEZ,A,S,S,E,Z,
606,ASSOT,A,S,S,O,T,
607,ASTER,A,S,T,E,R,
608,ASTIR,A,S,T,I,R,
609,ASTUN,A,S,T,U,N,
610,ASURA,A,S,U,R,A,
611,ASWAY,A,S,W,A,Y,
612,ASWIM,A,S,W,I,M,
613,ASYLA,A,S,Y,L,A,
614,ATAPS,A,T,A,P,S,
615,ATAXY,A,T,A,X,Y,
616,ATIGI,A,T,I,G,I,
617,ATILT,A,T,I,L,T,
618,ATIMY,A,T,I,M,Y,
619,ATLAS,A,T,L,A,S,
620,ATMAN,A,T,M,A,N,
621,ATMAS,A,T,M,A,S,
622,ATMOS,A,T,M,O,S,
623,ATOCS,A,T,O,C,S,
624,ATOKE,A,T,O,K,E,
625,ATOKS,A,T,O,K,S,
626,ATOMS,A,T,O,M,S,
627,ATOMY,A,T,O,M,Y,
628,ATONY,A,T,O,N,Y,
629,ATOPY,A,T,O,P,Y,
630,ATRIA,A,T,R,I,A,
631,ATRIP,A,T,R,I,P,
632,ATTAP,A,T,T,A,P,
633,ATTAR,A,T,T,A,R,
634,ATTAS,A,T,T,A,S,
635,ATTER,A,T,T,E,R,
636,ATUAS,A,T,U,A,S,
637,AUCHT,A,U,C,H,T,
638,AUDAD,A,U,D,A,D,
639,AUDAX,A,U,D,A,X,
640,AUGEN,A,U,G,E,N,
641,AUGER,A,U,G,E,R,
642,AUGES,A,U,G,E,S,
643,AUGHT,A,U,G,H,T,
644,AULAS,A,U,L,A,S,
645,AULIC,A,U,L,I,C,
646,AULOI,A,U,L,O,I,
647,AULOS,A,U,L,O,S,
648,AUMIL,A,U,M,I,L,
649,AUNES,A,U,N,E,S,
650,AUNTS,A,U,N,T,S,
651,AURAE,A,U,R,A,E,
652,AURAL,A,U,R,A,L,
653,AURAR,A,U,R,A,R,
654,AURAS,A,U,R,A,S,
655,AUREI,A,U,R,E,I,
656,AURES,A,U,R,E,S,
657,AURIC,A,U,R,I,C,
658,AURIS,A,U,R,I,S,
659,AURUM,A,U,R,U,M,
660,AUTOS,A,U,T,O,S,
661,AUXIN,A,U,X,I,N,
662,AVALE,A,V,A,L,E,
663,AVANT,A,V,A,N,T,
664,AVAST,A,V,A,S,T,
665,AVELS,A,V,E,L,S,
666,AVENS,A,V,E,N,S,
667,AVERS,A,V,E,R,S,
668,AVGAS,A,V,G,A,S,
669,AVINE,A,V,I,N,E,
670,AVION,A,V,I,O,N,
671,AVISE,A,V,I,S,E,
672,AVISO,A,V,I,S,O,
673,AVIZE,A,V,I,Z,E,
674,AVOWS,A,V,O,W,S,
675,AVYZE,A,V,Y,Z,E,
676,AWARI,A,W,A,R,I,
677,AWARN,A,W,A,R,N,
678,AWATO,A,W,A,T,O,
679,AWAVE,A,W,A,V,E,
680,AWAYS,A,W,A,Y,S,
681,AWDLS,A,W,D,L,S,
682,AWEEL,A,W,E,E,L,
683,AWETO,A,W,E,T,O,
684,AWING,A,W,I,N,G,
685,AWKIN,A,W,K,I,N,
686,AWMRY,A,W,M,R,Y,
687,AWNED,A,W,N,E,D,
688,AWNER,A,W,N,E,R,
689,AWOLS,A,W,O,L,S,
690,AWORK,A,W,O,R,K,
691,AXELS,A,X,E,L,S,
692,AXILE,A,X,I,L,E,
693,AXILS,A,X,I,L,S,
694,AXING,A,X,I,N,G,
695,AXITE,A,X,I,T,E,
696,AXLED,A,X,L,E,D,
697,AXLES,A,X,L,E,S,
698,AXMAN,A,X,M,A,N,
699,AXMEN,A,X,M,E,N,
700,AXOID,A,X,O,I,D,
701,AXONE,A,X,O,N,E,
702,AXONS,A,X,O,N,S,
703,AYAHS,A,Y,A,H,S,
704,AYAYA,A,Y,A,Y,A,
705,AYELP,A,Y,E,L,P,
706,AYGRE,A,Y,G,R,E,
707,AYINS,A,Y,I,N,S,
708,AYMAG,A,Y,M,A,G,
709,AYONT,A,Y,O,N,T,
710,AYRES,A,Y,R,E,S,
711,AYRIE,A,Y,R,I,E,
712,AZANS,A,Z,A,N,S,
713,AZIDE,A,Z,I,D,E,
714,AZIDO,A,Z,I,D,O,
715,AZINE,A,Z,I,N,E,
716,AZLON,A,Z,L,O,N,
717,AZOIC,A,Z,O,I,C,
718,AZOLE,A,Z,O,L,E,
719,AZONS,A,Z,O,N,S,
720,AZOTE,A,Z,O,T,E,
721,AZOTH,A,Z,O,T,H,
722,AZUKI,A,Z,U,K,I,
723,AZURN,A,Z,U,R,N,
724,AZURY,A,Z,U,R,Y,
725,AZYGY,A,Z,Y,G,Y,
726,AZYME,A,Z,Y,M,E,
727,AZYMS,A,Z,Y,M,S,
728,BAAED,B,A,A,E,D,Top5
729,BAALS,B,A,A,L,S,Top5
730,BAAPS,B,A,A,P,S,Top5
731,BABAS,B,A,B,A,S,Top5
732,BABBY,B,A,B,B,Y,Top5
733,BABEL,B,A,B,E,L,Top5
734,BABES,B,A,B,E,S,Top5
735,BABKA,B,A,B,K,A,Top5
736,BABOO,B,A,B,O,O,Top5
737,BABUL,B,A,B,U,L,Top5
738,BABUS,B,A,B,U,S,Top5
739,BACCA,B,A,C,C,A,Top5
740,BACCO,B,A,C,C,O,Top5
741,BACCY,B,A,C,C,Y,Top5
742,BACHA,B,A,C,H,A,Top5
